Date,Type,Name,Start,End,Duration
9/25/14,place,Place in West University,2014-09-25T16:57:37-07:00,2014-09-25T17:23:56-07:00,1579
9/25/14,move,walking,2014-09-25T17:23:56-07:00,2014-09-25T17:40:40-07:00,1004
9/25/14,place,Place in Rincon Heights,2014-09-25T17:40:40-07:00,2014-09-25T17:45:58-07:00,318
9/25/14,move,walking,2014-09-25T17:45:58-07:00,2014-09-25T18:02:16-07:00,978
9/25/14,place,Place in Rincon Heights,2014-09-25T18:02:16-07:00,2014-09-25T18:09:38-07:00,442
9/25/14,move,walking,2014-09-25T18:09:38-07:00,2014-09-25T18:18:59-07:00,561
9/25/14,place,Place in Rincon Heights,2014-09-25T18:18:59-07:00,2014-09-25T18:30:03-07:00,664
9/25/14,place,Place in Rincon Heights,2014-09-25T18:30:03-07:00,2014-09-25T18:51:57-07:00,1314
9/25/14,move,transport,2014-09-25T18:51:57-07:00,2014-09-25T18:54:44-07:00,167
9/25/14,place,Place in Rincon Heights,2014-09-25T18:54:44-07:00,2014-09-26T00:00:00-07:00,18316
9/26/14,place,Place in Rincon Heights,2014-09-26T00:00:00-07:00,2014-09-26T08:28:52-07:00,30532
9/26/14,move,transport,2014-09-26T08:28:52-07:00,2014-09-26T08:34:46-07:00,354
9/26/14,move,walking,2014-09-26T08:34:45-07:00,2014-09-26T08:38:03-07:00,198
9/26/14,place,Place in El Presidio,2014-09-26T08:38:04-07:00,2014-09-26T10:54:06-07:00,8162
9/26/14,move,walking,2014-09-26T10:54:06-07:00,2014-09-26T10:58:12-07:00,246
9/26/14,place,Place in El Presidio,2014-09-26T10:58:11-07:00,2014-09-26T11:07:07-07:00,536
9/26/14,move,transport,2014-09-26T11:07:07-07:00,2014-09-26T11:19:32-07:00,745
9/26/14,place,Place in Rincon Heights,2014-09-26T11:19:32-07:00,2014-09-26T11:38:42-07:00,1150
9/26/14,move,walking,2014-09-26T11:38:42-07:00,2014-09-26T11:54:45-07:00,963
